Ecosystem,Package Name,URL,Latest Version,Latest Version Updated,Source,Excluded,Criticality Score,Analysis Date,Results
maven,io.swagger:swagger-annotations,,,,Harvard Census II,,,,
maven,io.swagger:swagger-models,,,,Harvard Census II,,,,
maven,io.vavr:vavr,,,,Harvard Census II,,,,
maven,io.vavr:vavr-match,,,,Harvard Census II,,,,
maven,isorelax:isorelax,,,,Harvard Census II,,,,
maven,jakarta.activation:jakarta.activation-api,,,,Harvard Census II,,,,
maven,jakarta.annotation:jakarta.annotation-api,,,,Harvard Census II,,,,
maven,jakarta.persistence:jakarta.persistence-api,,,,Harvard Census II,,,,
maven,jakarta.servlet:jakarta.servlet-api,,,,Harvard Census II,,,,
maven,jakarta.transaction:jakarta.transaction-api,,,,Harvard Census II,,,,
maven,jakarta.validation:jakarta.validation-api,,,,Harvard Census II,,,,
maven,jakarta.ws.rs:jakarta.ws.rs-api,,,,Harvard Census II,,,,
maven,jakarta.xml.bind:jakarta.xml.bind-api,,,,Harvard Census II,,,,
maven,javancss:ccl,,,,Harvard Census II,,,,
maven,javancss:javancss,,,,Harvard Census II,,,,
maven,javancss:jhbasic,,,,Harvard Census II,,,,
maven,javax.activation:activation,,,,Harvard Census II,,,,
maven,javax.activation:javax.activation-api,,,,Harvard Census II,,,,
maven,javax.annotation:javax.annotation-api,,,,Harvard Census II,,,,
maven,javax.annotation:jsr250-api,,,,Harvard Census II,,,,
maven,javax.cache:cache-api,,,,Harvard Census II,,,,
maven,javax.inject:javax.inject,,,,Harvard Census II,,,,
maven,javax.jms:jms,,,,Harvard Census II,,,,
maven,javax.mail:javax.mail-api,,,,Harvard Census II,,,,
maven,javax.mail:mail,,,,Harvard Census II,,,,
maven,javax.persistence:javax.persistence-api,,,,Harvard Census II,,,,
maven,javax.servlet:javax.servlet-api,,,,Harvard Census II,,,,
maven,javax.servlet:jstl,,,,Harvard Census II,,,,
maven,javax.servlet:servlet-api,,,,Harvard Census II,,,,
maven,javax.transaction:javax.transaction-api,,,,Harvard Census II,,,,
maven,javax.validation:validation-api,,,,Harvard Census II,,,,
maven,javax.ws.rs:javax.ws.rs-api,,,,Harvard Census II,,,,
maven,javax.xml.bind:jaxb-api,,,,Harvard Census II,,,,
maven,javax.xml:jsr173,,,,Harvard Census II,,,,
maven,javax.xml.stream:stax-api,,,,Harvard Census II,,,,
maven,jaxen:jaxen,,,,Harvard Census II,,,,
maven,jaxme:jaxme-api,,,,Harvard Census II,,,,
maven,jdom:jdom,,,,Harvard Census II,,,,
maven,joda-time:joda-time,,,,Harvard Census II,,,,
maven,jtidy:jtidy,,,,Harvard Census II,,,,
maven,junit:junit,,,,Harvard Census II,,,,
maven,junitperf:junitperf,,,,Harvard Census II,,,,
maven,log4j:log4j,,,,Harvard Census II,,,,
maven,logkit:logkit,,,,Harvard Census II,,,,
maven,maven-plugins:maven-cobertura-plugin,,,,Harvard Census II,,,,
maven,maven-plugins:maven-findbugs-plugin,,,,Harvard Census II,,,,
maven,msv:msv,,,,Harvard Census II,,,,
maven,msv:relaxngdatatype,,,,Harvard Census II,,,,
maven,msv:xsdlib,,,,Harvard Census II,,,,
maven,mysql:mysql-connector-java,,,,Harvard Census II,,,,
maven,net.bytebuddy:byte-buddy,,,,Harvard Census II,,,,
maven,net.bytebuddy:byte-buddy-agent,,,,Harvard Census II,,,,
maven,net.bytebuddy:byte-buddy-dep,,,,Harvard Census II,,,,
maven,net.javacrumbs.json-unit:json-unit-fluent,,,,Harvard Census II,,,,
maven,net.java.dev.jna:jna,,,,Harvard Census II,,,,
maven,net.jcip:jcip-annotations,,,,Harvard Census II,,,,
maven,net.jodah:typetools,,,,Harvard Census II,,,,
maven,net.minidev:accessors-smart,,,,Harvard Census II,,,,
maven,net.minidev:json-smart,,,,Harvard Census II,,,,
maven,net.sf.jopt-simple:jopt-simple,,,,Harvard Census II,,,,
maven,net.sourceforge.cobertura:cobertura,,,,Harvard Census II,,,,
maven,org.apache.ant:ant-junit,,,,Harvard Census II,,,,
maven,org.apache.camel:camel-snakeyaml,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-collections4,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-compress,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-digester3,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-exec,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-lang3,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-math3,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-pool2,,,,Harvard Census II,,,,
maven,org.apache.commons:commons-text,,,,Harvard Census II,,,,
maven,org.apache.flink:flink-connector-kafka-0.10_2.11,,,,Harvard Census II,,,,
maven,org.apache.flink:flink-metrics-core,,,,Harvard Census II,,,,
maven,org.apache.geronimo.specs:geronimo-jms_1.1_spec,,,,Harvard Census II,,,,
maven,org.apache.geronimo.specs:geronimo-jta_1.1_spec,,,,Harvard Census II,,,,
maven,org.apache.httpcomponents:httpclient,,,,Harvard Census II,,,,
maven,org.apache.httpcomponents:httpcore,,,,Harvard Census II,,,,
maven,org.apache.httpcomponents:httpmime,,,,Harvard Census II,,,,
maven,org.apache.logging.log4j:log4j-api,,,,Harvard Census II,,,,
maven,org.apache.logging.log4j:log4j-core,,,,Harvard Census II,,,,
maven,org.apache.logging.log4j:log4j-to-slf4j,,,,Harvard Census II,,,,
maven,org.apache.lucene:lucene-core,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-aether-provider,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-archiver,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-artifact,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-core,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-model,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-plugin-registry,,,,Harvard Census II,,,,
maven,org.apache.maven:maven-profile,,,,Harvard Census II,,,,
maven,org.apache.maven.plugin-tools:maven-plugin-annotations,,,,Harvard Census II,,,,
maven,org.apache.maven.plugin-tools:maven-plugin-tools-api,,,,Harvard Census II,,,,
maven,org.apache.struts:struts2-jfreechart-plugin,,,,Harvard Census II,,,,
maven,org.apache.struts:struts2-spring-plugin,,,,Harvard Census II,,,,
maven,org.apache.tomcat.embed:tomcat-embed-core,,,,Harvard Census II,,,,
maven,org.apache.tomcat.embed:tomcat-embed-el,,,,Harvard Census II,,,,
maven,org.apache.tomcat.embed:tomcat-embed-websocket,,,,Harvard Census II,,,,
maven,org.apache.tomcat:tomcat-juli,,,,Harvard Census II,,,,
maven,org.apache.tomcat:tomcat-util,,,,Harvard Census II,,,,
maven,org.apiguardian:apiguardian-api,,,,Harvard Census II,,,,
maven,org.aspectj:aspectjrt,,,,Harvard Census II,,,,
maven,org.aspectj:aspectjweaver,,,,Harvard Census II,,,,
maven,org.assertj:assertj-core,,,,Harvard Census II,,,,
maven,org.bouncycastle:bcpkix-jdk15on,,,,Harvard Census II,,,,
maven,org.bouncycastle:bcprov-jdk15on,,,,Harvard Census II,,,,
maven,org.ccil.cowan.tagsoup:tagsoup,,,,Harvard Census II,,,,
maven,org.checkerframework:checker-qual,,,,Harvard Census II,,,,
maven,org.codehaus.jackson:jackson-core-asl,,,,Harvard Census II,,,,
maven,org.codehaus.jackson:jackson-mapper-asl,,,,Harvard Census II,,,,
maven,org.codehaus.mojo:animal-sniffer-annotations,,,,Harvard Census II,,,,
maven,org.codehaus.plexus:plexus-archiver,,,,Harvard Census II,,,,
maven,org.codehaus.plexus:plexus-classworlds,,,,Harvard Census II,,,,
maven,org.codehaus.plexus:plexus-compiler-api,,,,Harvard Census II,,,,
maven,org.codehaus.woodstox:stax2-api,,,,Harvard Census II,,,,
maven,org.dom4j:dom4j,,,,Harvard Census II,,,,
maven,org.easybatch:easybatch-opencsv,,,,Harvard Census II,,,,
maven,org.eclipse.aether:aether-spi,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-continuation,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-http,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-io,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-jmx,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-security,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-server,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-servlet,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-util,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-webapp,,,,Harvard Census II,,,,
maven,org.eclipse.jetty:jetty-xml,,,,Harvard Census II,,,,
maven,org.eclipse.jetty.toolchain.setuid:jetty-setuid-java,,,,Harvard Census II,,,,
maven,org.ehcache:ehcache,,,,Harvard Census II,,,,
maven,org.glassfish.hk2.external:aopalliance-repackaged,,,,Harvard Census II,,,,
maven,org.glassfish.hk2.external:jakarta.inject,,,,Harvard Census II,,,,
maven,org.glassfish.hk2:hk2-locator,,,,Harvard Census II,,,,
maven,org.glassfish.hk2:hk2-utils,,,,Harvard Census II,,,,
maven,org.glassfish.hk2:osgi-resource-locator,,,,Harvard Census II,,,,
maven,org.glassfish:jakarta.el,,,,Harvard Census II,,,,
maven,org.glassfish.jaxb:jaxb-runtime,,,,Harvard Census II,,,,
maven,org.glassfish.jaxb:txw2,,,,Harvard Census II,,,,
maven,org.glassfish.jersey.media:jersey-media-json-jettison,,,,Harvard Census II,,,,
maven,org.hamcrest:hamcrest,,,,Harvard Census II,,,,
maven,org.hamcrest:hamcrest-core,,,,Harvard Census II,,,,
maven,org.hamcrest:hamcrest-library,,,,Harvard Census II,,,,
maven,org.hdrhistogram:hdrhistogram,,,,Harvard Census II,,,,
maven,org.hdrhistogram:HdrHistogram,,,,Harvard Census II,,,,
maven,org.hibernate:hibernate-commons-annotations,,,,Harvard Census II,,,,
maven,org.hibernate:hibernate-core,,,,Harvard Census II,,,,
